,NAME,POPULATION,MALE,FEMALE
537,Alirajpur,57074.0,28949.0,28125.0
538,Mokokchung,55725.0,29719.0,26006.0
539,Yanam,55626.0,27301.0,28325.0
540,Darrang,55494.0,28813.0,26681.0
541,Kokrajhar,54941.0,28459.0,26482.0
542,Samba,53615.0,29759.0,23856.0
543,Rajouri,52314.0,34603.0,17711.0
544,Idukki ,52045.0,25563.0,26482.0
545,Latehar,51858.0,27100.0,24758.0
546,Arwal,51849.0,27077.0,24772.0
547,Lakshadweep,50332.0,25880.0,24452.0
548,Subarnapur,49941.0,25678.0,24263.0
549,Malkangiri  ,49528.0,25723.0,23805.0
550,Champhai,48529.0,24278.0,24251.0
551,Dhemaji,48285.0,24971.0,23314.0
552,Hailakandi,48140.0,24143.0,23997.0
553,Ganderbal,47039.0,25005.0,22034.0
554,Kolasib,46878.0,23821.0,23057.0
555,Leh(Ladakh),45671.0,30560.0,15111.0
556,Khunti,44982.0,22841.0,22141.0
557,Una,44913.0,23438.0,21475.0
558,East Garo Hills,44192.0,22460.0,21732.0
559,West Khasi Hills,43105.0,21335.0,21770.0
560,Simdega,42944.0,21884.0,21060.0
561,Mahe,41816.0,19143.0,22673.0
562,Kullu,41391.0,22183.0,19208.0
563,Dhalai,40499.0,20771.0,19728.0
564,Shrawasti,38649.0,20216.0,18433.0
565,Punch,38630.0,22125.0,16505.0
566,Champawat,38343.0,20283.0,18060.0
567,Udalguri,37574.0,19175.0,18399.0
568,Tuensang,36774.0,19471.0,17303.0
569,Chamba,36108.0,19357.0,16751.0
570,Chirang,35337.0,17965.0,17372.0
571,Wokha,35004.0,18070.0,16934.0
572,Mon,34444.0,18284.0,16160.0
573,Nuapada,34054.0,17170.0,16884.0
574,Doda,32689.0,18211.0,14478.0
575,Lohit,32430.0,17230.0,15200.0
576,Dindori ,32318.0,16520.0,15798.0
577,Serchhip,32019.0,16208.0,15811.0
578,Wayanad,31580.0,15401.0,16179.0
579,Hamirpur,31430.0,16322.0,15108.0
580,Bijapur,29600.0,15319.0,14281.0
